Messstelle:                Zwettl (Sportplatzbrücke)
HZB-Nummer:                207936
HD-Nummer:                 no260
DBMS-Nummer:               3001033
Gewässer:                  Zwettl
Sachgebiet:                OWF
Dienststelle:              HD-Niederösterreich
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 269.10
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   07.06.1950              516.00
   01.01.1977              514.41
   31.10.1984              514.00
   05.06.1986              514.66
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   31.10.1984              15 09 41                 48 36 30
Exportzeitreihe:           Abgeleitete Intervallzeitreihe
                           Abfluss,I,Mit,T,1,M,Z,0,,,
Ursprungszeitreihe:        Abfluss,K,,,0,F,Z,0,,, - Hauptreihe
Transformation:            Mittel
Mittelungsintervall:       1 Tag
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            01.01.2012 00:00 bis 01.01.2016 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               3 Nachkommast.
05.11.2012 00:00:00        1.120
06.11.2012 00:00:00        1.504
07.11.2012 00:00:00        1.121
08.11.2012 00:00:00        0.964
09.11.2012 00:00:00        0.916
10.11.2012 00:00:00        0.885
11.11.2012 00:00:00        0.885
12.11.2012 00:00:00        0.944
13.11.2012 00:00:00        1.212
14.11.2012 00:00:00        1.230
15.11.2012 00:00:00        1.039
16.11.2012 00:00:00        0.936
17.11.2012 00:00:00        0.885
18.11.2012 00:00:00        0.885
19.11.2012 00:00:00        0.821
20.11.2012 00:00:00        0.796
21.11.2012 00:00:00        0.774
22.11.2012 00:00:00        0.759
23.11.2012 00:00:00        0.798
24.11.2012 00:00:00        0.817
25.11.2012 00:00:00        0.817
26.11.2012 00:00:00        0.784
27.11.2012 00:00:00        0.729
28.11.2012 00:00:00        0.734
29.11.2012 00:00:00        0.758
30.11.2012 00:00:00        0.756
01.12.2012 00:00:00        0.758
02.12.2012 00:00:00        0.760
03.12.2012 00:00:00        0.726
04.12.2012 00:00:00        0.651
05.12.2012 00:00:00        0.714
06.12.2012 00:00:00        0.701
07.12.2012 00:00:00        0.615
08.12.2012 00:00:00        0.580
09.12.2012 00:00:00        0.605
10.12.2012 00:00:00        0.695
11.12.2012 00:00:00        0.809
12.12.2012 00:00:00        0.822
13.12.2012 00:00:00        0.778
14.12.2012 00:00:00        0.848
15.12.2012 00:00:00        0.872
16.12.2012 00:00:00        1.067
17.12.2012 00:00:00        1.548
18.12.2012 00:00:00        1.606
19.12.2012 00:00:00        1.611
20.12.2012 00:00:00        1.588
21.12.2012 00:00:00        1.328
22.12.2012 00:00:00        1.222
23.12.2012 00:00:00        2.463
24.12.2012 00:00:00        9.942
25.12.2012 00:00:00        4.733
26.12.2012 00:00:00        3.505
27.12.2012 00:00:00        3.099
28.12.2012 00:00:00        3.274
29.12.2012 00:00:00        3.394
30.12.2012 00:00:00        2.920
31.12.2012 00:00:00        2.717
01.01.2013 00:00:00        2.535
02.01.2013 00:00:00        2.386
03.01.2013 00:00:00        2.268
04.01.2013 00:00:00        2.224
05.01.2013 00:00:00        7.142
06.01.2013 00:00:00        9.976
07.01.2013 00:00:00       13.547
08.01.2013 00:00:00       12.307
09.01.2013 00:00:00        9.888
10.01.2013 00:00:00        8.360
11.01.2013 00:00:00        7.213
12.01.2013 00:00:00        6.283
13.01.2013 00:00:00        5.601
14.01.2013 00:00:00        5.072
15.01.2013 00:00:00        4.731
16.01.2013 00:00:00        4.419
17.01.2013 00:00:00        4.242
18.01.2013 00:00:00        3.981
19.01.2013 00:00:00        3.751
20.01.2013 00:00:00        3.457
21.01.2013 00:00:00        3.228
22.01.2013 00:00:00        3.063
23.01.2013 00:00:00        2.845
24.01.2013 00:00:00        2.648
25.01.2013 00:00:00        2.528
26.01.2013 00:00:00        2.435
27.01.2013 00:00:00        2.788
28.01.2013 00:00:00        2.758
29.01.2013 00:00:00        2.925
30.01.2013 00:00:00       11.492
31.01.2013 00:00:00       17.692
01.02.2013 00:00:00        9.386
02.02.2013 00:00:00        8.527
03.02.2013 00:00:00        7.721
04.02.2013 00:00:00        6.880
05.02.2013 00:00:00        7.058
06.02.2013 00:00:00        7.211
07.02.2013 00:00:00        6.067
08.02.2013 00:00:00        5.460
09.02.2013 00:00:00        5.090
10.02.2013 00:00:00        4.898
11.02.2013 00:00:00        4.607
12.02.2013 00:00:00        4.440
13.02.2013 00:00:00        4.133
14.02.2013 00:00:00        3.907
15.02.2013 00:00:00        3.796
16.02.2013 00:00:00        3.645
17.02.2013 00:00:00        3.422
18.02.2013 00:00:00        3.254
19.02.2013 00:00:00        3.230
20.02.2013 00:00:00        3.099
21.02.2013 00:00:00        2.950
22.02.2013 00:00:00        2.801
23.02.2013 00:00:00        2.801
24.02.2013 00:00:00        2.802
25.02.2013 00:00:00        2.620
